Individual	Population	Mor	Province
ZYZhouu11	ZYZhouu	YW	Xizang
ZYZhouu12	ZYZhouu	YW	Xizang
Deng95241	Deng9524	YW	Sichuan
Deng95242	Deng9524	YW	Sichuan
Deng95244	Deng9524	YW	Sichuan
Deng95246	Deng9524	YW	Sichuan
Deng95247	Deng9524	YW	Sichuan
Deng95248	Deng9524	YW	Sichuan
Deng952410	Deng9524	YW	Sichuan
Deng95351	Deng9535	YW	Sichuan
Deng95352	Deng9535	YW	Sichuan
Deng95353	Deng9535	YW	Sichuan
Deng95354	Deng9535	YW	Sichuan
Deng95355	Deng9535	YW	Sichuan
Deng95356	Deng9535	YW	Sichuan
Deng97151	Deng9715	YW	Xizang
Deng97152	Deng9715	YW	Xizang
Deng97153	Deng9715	YW	Xizang
Deng97154	Deng9715	YW	Xizang
Deng97155	Deng9715	YW	Xizang
Deng97156	Deng9715	YW	Xizang
Deng97157	Deng9715	YW	Xizang
Deng97158	Deng9715	YW	Xizang
Deng97031	Deng9703	YW	Xizang
Deng97034	Deng9703	YW	Xizang
Deng97036	Deng9703	YW	Xizang
Deng97037	Deng9703	YW	Xizang
Deng97038	Deng9703	YW	Xizang
Deng98471	Deng9847	YW	Sichuan
Deng98472	Deng9847	YW	Sichuan
Deng98473	Deng9847	YW	Sichuan
Deng98474	Deng9847	YW	Sichuan
Deng98475	Deng9847	YW	Sichuan
Deng98476	Deng9847	YW	Sichuan
Deng98477	Deng9847	YW	Sichuan
Deng98479	Deng9847	YW	Sichuan
Niuma0031	Niuma003	YY	Sichuan
Niuma0032	Niuma003	YY	Sichuan
Niuma0034	Niuma003	YY	Sichuan
Chen00091	Chen0009	YY	Yunnan
Chen00093	Chen0009	YY	Yunnan
Chen00094	Chen0009	YY	Yunnan
Chen00095	Chen0009	YY	Yunnan
Chen00096	Chen0009	YY	Yunnan
Chen00097	Chen0009	YY	Yunnan
Chen00098	Chen0009	YY	Yunnan
Chen00099	Chen0009	YY	Yunnan
Chen000910	Chen0009	YY	Yunnan
Chen00151	Chen0015	YY	Yunnan
Chen00152	Chen0015	YY	Yunnan
Chen00153	Chen0015	YY	Yunnan
Chen00154	Chen0015	YY	Yunnan
Chen00155	Chen0015	YY	Yunnan
Chen00156	Chen0015	YY	Yunnan
Chen00157	Chen0015	YY	Yunnan
Chen00158	Chen0015	YY	Yunnan
Chen00159	Chen0015	YY	Yunnan
Chen001510	Chen0015	YY	Yunnan
Deng89391	Deng8939	YY	Yunnan
Deng89392	Deng8939	YY	Yunnan
Deng89393	Deng8939	YY	Yunnan
Deng89394	Deng8939	YY	Yunnan
Deng89395	Deng8939	YY	Yunnan
Deng89396	Deng8939	YY	Yunnan
Deng89397	Deng8939	YY	Yunnan
Deng89398	Deng8939	YY	Yunnan
Deng89399	Deng8939	YY	Yunnan
Deng893910	Deng8939	YY	Yunnan
Deng89991	Deng8999	YY	Yunnan
Deng89992	Deng8999	YY	Yunnan
Deng89993	Deng8999	YY	Yunnan
Deng89994	Deng8999	YY	Yunnan
Deng89995	Deng8999	YY	Yunnan
Deng89996	Deng8999	YY	Yunnan
Deng89997	Deng8999	YY	Yunnan
Deng89998	Deng8999	YY	Yunnan
Deng89999	Deng8999	YY	Yunnan
Deng899910	Deng8999	YY	Yunnan
Deng90401	Deng9040	YY	Yunnan
Deng90402	Deng9040	YY	Yunnan
Deng90403	Deng9040	YY	Yunnan
Deng90404	Deng9040	YY	Yunnan
Deng90405	Deng9040	YY	Yunnan
Deng90406	Deng9040	YY	Yunnan
Deng90407	Deng9040	YY	Yunnan
Deng90408	Deng9040	YY	Yunnan
Deng90409	Deng9040	YY	Yunnan
Deng904010	Deng9040	YY	Yunnan
Deng91271	Deng9127	YY	Yunnan
Deng91272	Deng9127	YY	Yunnan
Deng91273	Deng9127	YY	Yunnan
Deng91274	Deng9127	YY	Yunnan
Deng91275	Deng9127	YY	Yunnan
Deng91276	Deng9127	YY	Yunnan
Deng91277	Deng9127	YY	Yunnan
Deng95691	Deng9569	YY	Yunnan
Deng95692	Deng9569	YY	Yunnan
Deng95693	Deng9569	YY	Yunnan
Deng95694	Deng9569	YY	Yunnan
Deng95695	Deng9569	YY	Yunnan
Deng95696	Deng9569	YY	Yunnan
Deng95698	Deng9569	YY	Yunnan
Deng96011	Deng9601	YY	Yunnan
Deng96012	Deng9601	YY	Yunnan
Deng96013	Deng9601	YY	Yunnan
Deng96017	Deng9601	YY	Yunnan
Deng96018	Deng9601	YY	Yunnan
