,,,,,,,,,altitude,,habitat,habit (perennial herbs = 1),"rhizome character (stout, terete = 1; stout, terete, thick/woody = 2; stout, terete, bulged below tip = 3)",rhizome shape (tuberous = 1; fusiform = 2; tuberous-fusiform = 3,rhizome length (cm),rhizome branching,stem number,stem length (average cm),stem texture (glabrous = 1),internode distance (base mm),internode distance (central mm),internode distance (tip mm),leaf basal diatance (cm),petiole length(mm),leaf angle (degree) (<30 = 1; 30--35 = 2; >35 = 3),basal (min -max),central (min - max),tip (min - max),total leaf count,base,central ,tip,total,base,central,tip,base,central,tip,base,central,tip,Leaf curvature (straight = 1; slightly falcate = 2; straight to falcate = 3),leaf margin taper (lanceolate = 1; elliptic = 2; oblanceolate = 3; parallel = 4; lanceolate-elliptic = 5; lanceolate-parallel  = 6; oblanceolate-parallel = 7; elliptic-oblong = 8),"margin colour (dark green = 1; dark green, coloured at tip = 2)",margin width upto  from base(narrower = 1;equal = 2; broader = 3; broader to narrower = 4),base,centre,tip,margin (entire = 1; slightly revolute = 2),leaf base (cuneate = 1; rounded = 2; cuneate to rounded = 3),leaf base symmetry (yes = 1),leaf apex symmetry (yes = 1),leaf apex shape (acute = 1; obtuse = 2; acute to obtuse = 3),Leaf arrangement (alternate = 1; alternate to nearly opposite = 2; alternate to opposite and/or whorled = 3),leaf texture (medium = 1),leaf edges (flat = 1; incurving = 2),abaxial surface texture (glabrous = 1; light glabrous = 2; dark glabrous = 3),adaxial surface texture (glabrous = 1; light glabrous = 2; dark glabrous = 3),mid rib colour with leaf (same = 1; different = 2),leaf mid rib appearance (abaxial)  (level = 1; elevated = 2),leaf mid rib appearance (adaxial)  (level = 1; sunken = 2),number of lateral veins (pairs)  (4--6 pairs = 1),"flower number (<20 = 1, 20-30 = 2, >30 = 3)",bract number (6 no. = 1; 6--8 no. = 2; 8 no. = 3),bract margin (entire = 1),length in mm (min - max),width in mm (min - max),ratio (length/width average),colour (red = 1; purplish red = 2; pinkish red = 3; yellow = 4),cylindric diameter (mm),length (cm),texture (glabrous = 1),number  5,shape (ovate = 1; oblong = 2; ovate-oblong = 3; ),colour (white = 1; purplish white = 2; pinkish white = 3; yellowish white = 4; yellow = 5),length (mm),breadth (mm),Length and Width ratio,apex (round =1),veins (reticulate veins = 1; purplish red reticulate veins = 2),period (months),period
gansu,CVH,WUK 0458050,??? 5078,1985,7/16/1985,"Tianzhu Shimengou, Gansu Province, China",,,2800,valleys,valleys,1,NA,NA,NA,NA,6,18.5,1,1,1,1,1,1,2,14,16,16,46,4.54,5.19,5.19,14.92,12,15,13,2.5,3.5,2.5,4.8,4.29,5.2,1,1,1,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,10,2,5.00,1,1,1,1,5,3,1,2,1,2.00,1,1,7,July
gansu,CVH,WUK 0439252,??? 19164,1983,5/30/1983,"Shimengou, Majia Temple, Gansu Province, China",,,2200,dry hillside,dry hillside,1,1,1,17,yes,5,17,1,2,2,2,1,1,2,10,10,13,33,3.53,3.53,4.59,11.65,10.5,16,14.5,3,3.5,3.5,3.5,4.57,4.14,1,1,1,4,2,2.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,10,3,3.33,1,1,1,1,5,3,1,2,1,2.00,1,1,5,May
gansu,CVH,WUK 0435622,"???,??? 2836",1982,7/28/1982,"Jingyuan, Gansu Province, China, dry wood ditch in the rugged Wushan forest field",,,2300,NA,NA,1,NA,NA,NA,NA,7,16.5,1,1,1,1,1,1,2,19,25,29,73,6.91,9.09,10.55,26.55,10,14,11,2,2.5,2.5,5,5.6,4.4,1,1,1,4,1,1.5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,12,2,6.00,1,0.8,0.7,1,5,3,2,2,1,2.00,1,1,7,July
Gansu,CVH,PE 01059267,??? 38,1967,8/1/1967,"Gansu, China, Yugu Autonomous County, Dahe District, Fiagogou",,,2700,dry hillsides,dry hillsides,1,NA,NA,NA,NA,9,16.5,1,2,2,2,2,1,2,9,12,13,34,3.27,4.36,4.73,12.36,20.5,28,25,4,5,6,5.13,5.6,4.17,1,1,1,4,2.5,3.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,22,5,4.40,1,1,1,1,5,3,1,2,1,2.00,1,1,8,August
Gansu,CVH,PE 01059272,??? 3454,1959,6/29/1959,"Nine Ridges of Yanlianshan, Gansu South County, China",,,2300,riverside,riverside,1,NA,NA,NA,NA,8,23,1,1,1,1,1,1,2,15,18,25,58,3.91,4.70,6.52,15.13,12,18,16,2,3.5,2,6,5.14,8,1,1,1,4,1.5,2,1.3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,8,2,4.00,1,1,0.7,1,5,3,1,2,1,2.00,1,1,6,June
Gansu,CVH,PE 01059258,??? 3892,1959,7/3/1959,"Great Huangshan, Shandan County, Gansu, China",,,2400,Ravine,Ravine,1,1,1,12,yes,2,23.5,1,1,2,1,1,1,2,15,17,23,55,3.83,4.34,5.87,14.04,17,19,15,3.5,4.5,3.5,4.86,4.22,4.29,1,1,1,4,2,2.5,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,10,2,5.00,3,1,0.6,1,5,3,3,2,1,2.00,1,1,7,July
Gansu,CVH,PE 01059260,??? 4423,1959,7/7/1959,"Anyuan Town, Tianzhu Tibetan Autonomous County, Gansu, China",,,2700,hillside,hillside,1,1,1,12,yes,2,15.5,1,1,1,1,1,1,2,10,12,16,38,3.87,4.65,6.19,14.71,10,15,15,2,3.5,3.5,5,4.29,4.29,1,1,1,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,10,3,3.33,3,1,0.8,1,5,3,3,2,1,2.00,1,1,7,July
Gansu,CVH,WUK 0155591,??? 3892,1959,7/3/1959,"Great Huangshan, Shandan, Gansu Province, China",,,2400,Ravine,Ravine,1,NA,NA,NA,NA,3,20.5,1,2,2,1,1,1,2,15,17,21,53,4.39,4.98,6.15,15.51,12.5,19,15,2.5,3.5,3,5,5.43,5,1,1,1,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,12,2,6.00,3,1,0.8,1,5,3,1,2,1,2.00,1,1,7,July
Gansu,CVH,WUK 0391433,??? 4175,1959,7/22/1959,"Tianzhu Tibetan Autonomous County, Gansu Province, China, Anyuan Town, Tibetan Autonomous County",,,2800,hillside,hillside,1,1,1,15,yes,3,16.5,1,1,1,1,1,1,2,9,11,15,35,3.27,4.00,5.45,12.73,9,14,14,2,4.5,4.5,4.5,3.11,3.11,1,1,1,4,2,3,2,1,1,1,1,1,2,1,1,2,3,1,1,1,1,1,1,1,12,4,3.00,3,1,1,1,5,3,1,2,1,2.00,1,1,7,July
Gansu,CVH,WUK 0157380,??? 4362,1959,7/24/1959,"Yongden Peace Society, Lanzhou, Gansu Province, China",,,2100,hillside,hillside,1,2,1,23,yes,6,16.5,1,1,1,1,1,1,2,11,14,16,41,4.00,5.09,5.82,14.91,9,16,16.5,2.5,3,3,3.6,5.33,5.5,1,1,1,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,14,3,4.67,1,1,0.8,1,5,3,1,2,1,2.00,1,1,7,July
