,,,,,,,,,altitude,,habitat,habit (perennial herbs = 1),"rhizome character (stout, terete = 1; stout, terete, thick/woody = 2; stout, terete, bulged below tip = 3)",rhizome shape (tuberous = 1; fusiform = 2; tuberous-fusiform = 3,rhizome length (cm),rhizome branching,stem number,stem length (average cm),stem texture (glabrous = 1),internode distance (base mm),internode distance (central mm),internode distance (tip mm),leaf basal diatance (cm),petiole length(mm),leaf angle (degree) (<30 = 1; 30--35 = 2; >35 = 3),basal (min -max),central (min - max),tip (min - max),total leaf count,base,central ,tip,total,base,central,tip,base,central,tip,base,central,tip,Leaf curvature (straight = 1; slightly falcate = 2; straight to falcate = 3),leaf margin taper (lanceolate = 1; elliptic = 2; oblanceolate = 3; parallel = 4; lanceolate-elliptic = 5; lanceolate-parallel  = 6; oblanceolate-parallel = 7; elliptic-oblong = 8),"margin colour (dark green = 1; dark green, coloured at tip = 2)",margin width upto  from base(narrower = 1;equal = 2; broader = 3; broader to narrower = 4),base,centre,tip,margin (entire = 1; slightly revolute = 2),leaf base (cuneate = 1; rounded = 2; cuneate to rounded = 3),leaf base symmetry (yes = 1),leaf apex symmetry (yes = 1),leaf apex shape (acute = 1; obtuse = 2; acute to obtuse = 3),Leaf arrangement (alternate = 1; alternate to nearly opposite = 2; alternate to opposite and/or whorled = 3),leaf texture (medium = 1),leaf edges (flat = 1; incurving = 2),abaxial surface texture (glabrous = 1; light glabrous = 2; dark glabrous = 3),adaxial surface texture (glabrous = 1; light glabrous = 2; dark glabrous = 3),mid rib colour with leaf (same = 1; different = 2),leaf mid rib appearance (abaxial)  (level = 1; elevated = 2),leaf mid rib appearance (adaxial)  (level = 1; sunken = 2),number of lateral veins (pairs)  (4--6 pairs = 1),"flower number (<20 = 1, 20-30 = 2, >30 = 3)",bract number (6 no. = 1; 6--8 no. = 2; 8 no. = 3),bract margin (entire = 1),length in mm (min - max),width in mm (min - max),ratio (length/width average),colour (red = 1; purplish red = 2; pinkish red = 3; yellow = 4),cylindric diameter (mm),length (cm),texture (glabrous = 1),number  5,shape (ovate = 1; oblong = 2; ovate-oblong = 3; ),colour (white = 1; purplish white = 2; pinkish white = 3; yellowish white = 4; yellow = 5),length (mm),breadth (mm),Length and Width ratio,apex (round =1),veins (reticulate veins = 1; purplish red reticulate veins = 2),period (months),period
Inner Mongolia,CVH,PE 01059088,?? 85,1955,5/13/1955,"Inner Mongolia Official Village, China",,,NA,NA,NA,1,NA,NA,NA,NA,4,9,1,1,1,1,0.5,1,2,7,9,9,25,4.67,6.00,6.00,16.67,11,15,18,2,3.5,3.5,5.5,4.29,5.14,1,1,1,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,12,3,4.00,1,1,0.8,1,5,3,1,2,1,2.00,1,1,5,May
Inner Mongolia,CVH,IFP IFP0234351,??????????? ???0361,2016,5/29/2016,,49.9638,119.0458,522,NA,NA,1,NA,NA,NA,NA,6,16,1,2,2,1,1,1,2,10,14,17,41,3.75,5.25,6.38,15.38,8.5,12.5,15,1.5,2.5,2.5,5.67,5,6,1,1,1,4,1,1.5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,10,2,5.00,1,1,0.8,1,5,3,1,3,2,1.50,1,1,5,May
Inner Mongolia,CVH,IFP IFP0236357,??????????? ???0361,2016,5/29/2016,,49.9638,119.0458,522,NA,NA,1,NA,NA,NA,NA,5,16.5,1,2,2,1,1,1,2,11,14,19,44,4.00,5.09,6.91,16.00,9,13,15,1.5,2.5,2.5,6,5.2,6,1,1,1,4,1,1.5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,10,3,3.33,1,1,0.8,1,5,3,1,3,2,1.50,1,1,5,May
Inner Mongolia,CVH,IFP IFP0234514,??????????? ???0534,2017,6/7/2017,,49.163,120.3403,639,NA,NA,1,NA,NA,NA,NA,2,18,1,2,2,1,1,1,2,11,14,18,43,3.67,4.67,6.00,14.33,11,16.5,16,2.5,4.5,3.5,4.4,3.67,4.57,1,1,1,4,2,2.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,10,2,5.00,1,1,1,1,5,3,1,3,2,1.50,1,1,6,June
Inner Mongolia,CVH,KUN 0469468,?? 24,1961,5/31/1961,"Great Qingshankou, China, Hela-Lagou",,,NA,gravel sandy soil of mountains,gravel sandy soil of mountains,1,NA,NA,NA,NA,2,23.5,1,2,2,1,1,0.8,2,11,15,17,43,2.81,3.83,4.34,10.98,12,22,18.5,3.5,4.5,3.5,3.43,4.89,5.29,1,1,1,4,1.5,2.5,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,16,3,5.33,1,1,1,1,5,3,1,2,1,2.00,1,1,5,May
Ningxia,CVH,HNWP 63002,??? 3026,1976,8/17/1976,"Nanhuashan Ranch, Haiyuan County, Ningxia Hui Autonomous Region, China ",,,2700,NA,NA,1,NA,NA,NA,NA,10,11.5,1,1,1,1,1,1,1,13,15,17,45,6.78,7.83,8.87,23.48,13.5,17,12.5,3.5,4.5,3.5,3.86,3.78,3.57,1,1,1,4,2,2.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,10,3,3.33,3,1,0.8,1,5,3,1,2,1,2.00,1,1,8,August
Qinghai,CVH,PE 01059302,??? 77185,1977,8/2/1977,"Qinghai Lake, China",,,NA,grass,grass,1,NA,NA,NA,NA,2,15,1,1,1,1,1,1,1,14,17,21,52,5.60,6.80,8.40,20.80,10,16,10.6,2.5,3,2.5,4,5.33,4.24,1,1,1,4,1,1.5,0.8,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,8,2,4.00,3,0.8,0.6,1,5,3,1,2,1,2.00,1,1,8,August
Qinghai,CVH,HNWP 63510,??? 2218,1977,7/4/1977,"Yushu Tibetan Autonomous Region, Qinghai Province, China",,,3700,NA,NA,1,NA,NA,NA,NA,12,20.5,1,2,2,1,1,1,2,15,17,21,53,4.39,4.98,6.15,15.51,13,17,15,2.5,3.5,2.5,5.2,4.86,6,1,1,1,4,1.5,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,12,3,4.00,3,0.8,0.7,1,5,3,1,2,1,2.00,1,1,7,July
Qinghai,CVH,HNWP 0235078,??? 38057,2006,7/22/2006,"Tianjun County, Qinghai Province, China, Under the Mount Ofma",,,3580,High-chill meadows and rock crevices on hillsides,High-chill meadows and rock crevices on hillsides,1,1,1,11,yes,6,21,1,2,2,2,1,1,2,15,17,23,55,4.29,4.86,6.57,15.71,12,17,16,2.5,4.5,3,4.8,3.78,5.33,1,1,1,4,1.5,2.5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,10,3,3.33,2,1,1,1,5,3,1,3,1.2,2.50,1,1,7,July
Qinghai,CVH,HNWP 0235079,??? 38057,2006,7/22/2006,"Tianjun County, Qinghai Province, China, Under the Mount Ofma",,,3580,High-chill meadows and rock crevices on hillsides,High-chill meadows and rock crevices on hillsides,1,1,1,11,yes,7,21,1,2,2,2,1,1,2,15,17,23,55,4.29,4.86,6.57,15.71,12,17,15,2.5,4.5,3,4.8,3.78,5,1,1,1,4,1.5,2.5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,10,3,3.33,2,1,1,1,5,3,1,3,1.2,2.50,1,1,7,July
Qinghai,CVH,HNWP 0238739,??? 38063,2006,7/22/2006,"Tianjun County, Qinghai Province, China, Under the Mount Ofma",,,3580,High-chill meadows and rock crevices on hillsides,High-chill meadows and rock crevices on hillsides,1,1,1,11,yes,10,20,1,1,2,2,1,1,2,15,17,21,53,4.50,5.10,6.30,15.90,12.5,17,15,2.5,4.5,3,5,3.78,5,1,1,1,4,1.5,2.5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,12,3,4.00,2,1,1,1,5,3,1,3,1.2,2.50,1,1,7,July
Qinghai,CVH,HNWP 0235086,??? 38603,2006,7/22/2006,"Tianjun County, Qinghai Province, China, Under the Mount Ofma",,,3580,High-chill meadows and rock crevices on hillsides,High-chill meadows and rock crevices on hillsides,1,1,1,11,yes,10,20,1,1,2,2,1,1,2,15,17,21,53,4.50,5.10,6.30,15.90,12.5,17,15,2.5,4.5,3,5,3.78,5,1,1,1,4,1.5,2.5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,12,3,4.00,2,1,1,1,5,3,1,3,1.2,2.50,1,1,7,July
Qinghai,CVH,HNWP 0210524,??? 32560,2005,7/5/2005,"Yushu County, Qinghai Province, China ",,,3750,"Hillsides, Meadows ","Hillsides, Meadows ",1,NA,NA,NA,NA,5,26,1,2,2,2,3,1,2,11,11,15,37,2.54,2.54,3.46,8.54,14,19,16.5,3,4.5,4.5,4.67,4.22,3.67,1,1,1,4,1,2.5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,12,3,4.00,4,1,0.8,1,5,3,1,2,1,2.00,1,1,7,July
Qinghai,CVH,HNWP 0210525,??? 32560,2005,7/5/2005,"Yushu County, Qinghai Province, China ",,,3750,"Hillsides, Meadows ","Hillsides, Meadows ",1,NA,NA,NA,NA,5,24.5,1,2,1,2,3,1,2,11,13,15,39,2.69,3.18,3.67,9.55,15,23,19,4.5,6,5,3.33,3.83,3.8,1,1,1,4,2.5,3.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,12,3,4.00,4,1,0.8,1,5,3,1,2,1,2.00,1,1,7,July
Qinghai,CVH,HNWP 0210492,??? 32649,2005,7/7/2005,"Sapu Tang, Hedo County, Qinghai Province, China",,,4100,"Alpine meadows, ravines, thickets","Alpine meadows, ravines, thickets",1,1,1,12,yes,3,16,1,1,1,1,2,1,2,11,13,15,39,4.13,4.88,5.63,14.63,11,18,16,2,4,3.5,5.5,4.5,4.57,1,1,1,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,10,3,3.33,4,1,1,1,5,3,1,2,1,2.00,1,1,7,July
Qinghai,CVH,HNWP 0213171,??? 32700,2005,7/5/2005,"Red Flag, Hedo County, Qinghai Province, China",,,4070,"Valleys, thickets, alpine meadows","Valleys, thickets, alpine meadows",1,NA,NA,NA,NA,5,30.5,1,2,3,2,2,1,2,11,11,13,35,2.16,2.16,2.56,6.89,17,26,24,8,11,9,2.13,2.36,2.67,1,5,1,4,4,5.5,3,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,18,6,3.00,4,1,1,1,5,3,2,3,1.5,2.00,1,1,7,July
Qinghai,CVH,HNWP 0213221,??? 32758,2005,7/7/2005,"Red Flag, Hedo County, Qinghai Province, China",,,4100,hillside,hillside,1,NA,NA,NA,NA,5,24,1,2,2,1,2,1,2,11,13,17,41,2.75,3.25,4.25,10.25,11,17,15,2.5,5,5,4.4,3.4,3,1,1,1,4,2,3,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,8,4,2.00,1,1,0.8,1,5,3,2,2,1,2.00,1,1,7,July
Qinghai,CVH,HNWP 0213222,??? 32758,2005,7/7/2005,"Red Flag, Hedo County, Qinghai Province, China",,,4100,hillside,hillside,1,NA,NA,NA,NA,6,23,1,2,2,1,2,1,2,11,13,15,39,2.87,3.39,3.91,10.17,11,15,15,2.5,4.5,4,4.4,3.33,3.75,1,1,1,4,1.5,2.5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,10,3,3.33,1,1,0.8,1,5,3,2,2,1,2.00,1,1,7,July
Qinghai,CVH,HNWP 0213223,??? 32758,2005,7/7/2005,"Red Flag, Hedo County, Qinghai Province, China",,,4100,hillside,hillside,1,NA,NA,NA,NA,5,23.5,1,2,2,1,2,1,2,11,15,15,41,2.81,3.83,3.83,10.47,11,15,15,2.5,4.5,4,4.4,3.33,3.75,1,1,1,4,1.5,2.5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,10,3,3.33,1,1,0.8,1,5,3,2,2,1,2.00,1,1,7,July
Qinghai,CVH,HNWP 0214293,??? 33120,2005,7/10/2005,"Onsai Township, Southwest Ditch, Hedo County, Qinghai Province, China",,,4200,rock crevices,rock crevices,1,NA,NA,NA,NA,2,21.5,1,1,1,1,2,1,2,11,13,15,39,3.07,3.63,4.19,10.88,20,21,16,4.5,6.5,5,4.44,3.23,3.2,1,1,1,4,2.5,4,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,10,4,2.50,1,1,0.8,1,5,3,2,2,1,2.00,1,1,7,July
Qinghai,CVH,HNWP 0214413,??? 33347,2005,7/10/2005,"Onsai Township, Southwest Ditch, Hedo County, Qinghai Province, China",,,4600,alpine slopes,alpine slopes,1,NA,NA,NA,NA,5,23.5,1,1,1,1,2,1,2,11,13,15,39,2.81,3.32,3.83,9.96,13,16.5,15,2.5,4.5,3.5,5.2,3.67,4.29,1,1,1,4,2,2.5,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,11,3,3.67,1,1,0.8,1,5,3,2,2,1,2.00,1,1,7,July
Qinghai,CVH,HNWP 0214414,??? 33347,2005,7/10/2005,"Onsai Township, Southwest Ditch, Hedo County, Qinghai Province, China",,,4600,alpine slopes,alpine slopes,1,NA,NA,NA,NA,7,21,1,2,2,2,2,1,2,11,11,15,37,3.14,3.14,4.29,10.57,10,15,15,2.5,3.5,3.5,4,4.29,4.29,1,1,1,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,10,3,3.33,1,1,1,1,5,3,2,2,1,2.00,1,1,7,July
Qinghai,CVH,HNWP 0220590,??? 34269,2005,7/19/2005,"Sulu Township, Hedo County, Qinghai Province, China",,,4260,hillside roads,hillside roads,1,NA,NA,NA,NA,6,14,1,1,1,1,2,1,2,7,9,9,25,3.00,3.86,3.86,10.71,14,21,20,3,6.5,6,4.67,3.23,3.33,1,5,1,4,2.5,4,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,14,5,2.80,NA,1,0.7,1,5,3,NA,3,1.2,2.50,1,1,7,July
Qinghai,CVH,HNWP 0220591,??? 34269,2005,7/19/2005,"Sulu Township, Hedo County, Qinghai Province, China",,,4260,hillside roads,hillside roads,1,1,1,12,yes,8,12.5,1,1,1,1,1,1,2,9,9,11,29,4.32,4.32,5.28,13.92,12,19,17.5,3.5,6,5,3.43,3.17,3.5,1,5,1,4,2.5,3.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,14,5,2.80,NA,1,0.6,1,5,3,NA,2,1,2.00,1,1,7,July
Qinghai,CVH,HNWP 188888,??? 23373,2003,6/21/2003,"Gungahlin Field, Shaozhong County, Qinghai Province, China",,,3000,NA,NA,1,NA,NA,NA,NA,2,24,1,1,1,1,2,1,2,19,21,23,63,4.75,5.25,5.75,15.75,13,18,18,2.5,3.5,3,5.2,5.14,6,1,1,1,4,2,2.5,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,12,3,4.00,1,1,1,1,5,3,2,2,1,2.00,1,1,6,June
Qinghai,CVH,HNWP 188889,??? 23373,2003,6/21/2003,"Gungahlin Field, Shaozhong County, Qinghai Province, China",,,3000,NA,NA,1,NA,NA,NA,NA,3,22.5,1,1,1,1,2,1,2,15,19,19,53,4.00,5.07,5.07,14.13,11,15.5,15,2,2.5,2,5.5,6.2,7.5,1,1,1,4,1,1.5,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,12,2,6.00,1,1,1,1,5,3,2,2,1,2.00,1,1,6,June
Qinghai,CVH,HNWP 189050,??? 23382,2003,6/21/2003,"Gungahlin Field, Shaozhong County, Qinghai Province, China",,,3000,NA,NA,1,1,1,40,yes,7,29.5,1,2,2,2,2,1,2,15,17,21,53,3.05,3.46,4.27,10.78,17.5,22.5,19.5,2.5,3.5,3,7,6.43,6.5,1,1,1,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,10,2,5.00,1,1,0.8,1,5,3,2,2,1,2.00,1,1,6,June
Qinghai,CVH,HNWP 192241,??? 23626,2003,6/26/2003,"Seven-mile Temple in The People's and Hui Autonomous County, Qinghai Province, China",,,NA,NA,NA,1,NA,NA,NA,NA,2,17.5,1,1,1,1,3,1,1,11,13,19,43,3.77,4.46,6.51,14.74,13,14.5,13.5,3,4.5,3,4.33,3.22,4.5,1,1,1,4,2,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,10,4,2.50,1,1,0.6,1,5,3,2,2,1,2.00,1,1,6,June
Qinghai,CVH,HNWP 195912,??? 23898,2003,6/28/2003,"People's and Hui Autonomous County, Qinghai Province, China, Almond Township Forest Farm",,,2400,NA,NA,1,NA,NA,NA,NA,2,31,1,2,1,1,3,1,2,13,15,19,47,2.52,2.90,3.68,9.10,15,23.5,21,3,6,4.5,5,3.92,4.67,1,1,1,4,2,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,12,4,3.00,1,1,1,1,5,3,2,3,2,1.50,1,1,6,June
Qinghai,CVH,HNWP 195913,??? 23898,2003,6/28/2003,"People's and Hui Autonomous County, Qinghai Province, China, Almond Township Forest Farm",,,2400,NA,NA,1,NA,NA,NA,NA,4,22.5,1,2,1,1,2,1,2,13,14,17,44,3.47,3.73,4.53,11.73,12,19,15,2.5,5,3.5,4.8,3.8,4.29,1,1,1,4,2,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,10,3,3.33,1,1,0.8,1,5,3,2,3,1.5,2.00,1,1,6,June
Qinghai,CVH,HNWP 196079,??? 24573,2003,7/2/2003,"People's and Hui Autonomous County, Qinghai Province, China, Almond Township Forest Farm",,,2560,NA,NA,1,NA,NA,NA,NA,4,39,1,3,2,2,3,1,3,15,18,17,50,2.31,2.77,2.62,7.69,16,21,17,5,6.5,4.5,3.2,3.23,3.78,1,1,1,4,1,3.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,14,3,4.67,1,1,0.8,1,5,3,2,3,1.5,2.00,1,1,7,July
Qinghai,CVH,HNWP 196114,??? 24573,2003,7/2/2003,"People's and Hui Autonomous County, Qinghai Province, China, Almond Township Forest Farm",,,2560,NA,NA,1,NA,NA,NA,NA,3,37,1,3,2,2,3,1,3,15,18,17,50,2.43,2.92,2.76,8.11,16,21,17,5,6.5,4.5,3.2,3.23,3.78,1,1,1,4,1,3.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,14,3,4.67,1,1,0.8,1,5,3,2,3,1.5,2.00,1,1,7,July
Qinghai,CVH,HNWP 200718,??? 25980,2003,7/28/2003,"Dogongma Township, Banma County, Qinghai Province, China",,,3815,NA,NA,1,NA,NA,NA,NA,3,22.5,1,2,1,1,3,1,2,13,16,21,50,3.47,4.27,5.60,13.33,13,21,16.5,3,5,4.5,4.33,4.2,3.67,1,1,1,4,2,3,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,10,3,3.33,1,1,0.8,1,5,3,2,3,2,1.50,1,1,7,July
Qinghai,CVH,HNWP 200719,??? 25980,2003,7/28/2003,"Dogongma Township, Banma County, Qinghai Province, China",,,2400,NA,NA,1,NA,NA,NA,NA,4,21,1,2,1,1,3,1,2,12,15,19,46,3.43,4.29,5.43,13.14,12,21,17,3,5.5,4.5,4,3.82,3.78,1,1,1,4,2,3,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,10,3,3.33,1,1,0.8,1,5,3,2,3,2,1.50,1,1,7,July
Qinghai,CVH,HNWP 197945,??? 26065,2003,7/28/2003,"Jiang Zhitang Township, Banma County, Qinghai Province, China",,,3420,NA,NA,1,NA,NA,NA,NA,5,22.5,1,1,1,1,1,1,2,15,17,19,51,4.00,4.53,5.07,13.60,9,16,13,2,3,2.5,4.5,5.33,5.2,1,1,1,4,1,1.5,0.8,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,8,2,4.00,1,0.5,0.6,1,5,3,2,2,1,2.00,1,1,7,July
Qinghai,CVH,HNWP 151201,??? 26370,2003,7/31/2003,"Baiyu Township, Kuji County, Qinghai Province, China",,,3675,NA,NA,1,NA,NA,NA,NA,11,27.5,1,2,3,2,3,1,2,13,15,17,45,2.84,3.27,3.71,9.82,13,19,16,3,6,5.5,4.33,3.17,2.91,1,1,1,4,2.5,3.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,12,4,3.00,1,0.8,0.8,1,5,3,2,2,1,2.00,1,1,7,July
Qinghai,CVH,HNWP 151202,??? 26370,2003,7/31/2003,"Baiyu Township, Tsingza County, Qinghai Province, China",,,3675,NA,NA,1,NA,NA,NA,NA,6,29,1,2,3,2,2,1,2,11,15,17,43,2.28,3.10,3.52,8.90,19.5,18,17,3,7.5,5.5,6.5,2.4,3.09,1,1,1,4,3,4,2.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,13,4,3.25,1,0.8,0.8,1,5,3,2,2,1,2.00,1,1,7,July
Qinghai,CVH,HNWP 151167,??? 26410,2003,7/31/2003,"Baiyu Township, Kuji County, Qinghai Province, China",,,3670,NA,NA,1,NA,NA,NA,NA,7,17.5,1,2,2,2,1,1,2,11,15,19,45,3.77,5.14,6.51,15.43,13,19,16,3,4.5,4.5,4.33,4.22,3.56,1,1,1,4,1.5,2.5,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,10,3,3.33,1,0.8,0.8,1,5,3,2,2,1,2.00,1,1,7,July
Qinghai,CVH,HNWP 0211632,??? 22520,2002,7/11/2002,"34.5 km from Lubourg Township, Qinghai Province, China",,,3240,NA,NA,1,1,1,13,yes,15,21,1,1,1,1,1,1,2,13,17,21,51,3.71,4.86,6.00,14.57,12,15,13.5,2,2,2,6,7.5,6.75,1,1,1,4,0.8,1,0.6,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,10,2,5.00,1,0.5,0.8,1,5,3,2,2,1,2.00,1,1,7,July
Qinghai,CVH,HNWP 190439,??? 22520,2002,7/11/2002,"34.5 km from Lubourg Township, Qinghai Province, China",,,3240,NA,NA,1,NA,NA,NA,NA,15,17.5,1,1,1,1,1,1,2,11,13,17,41,3.77,4.46,5.83,14.06,12,12.5,13,1.75,2,2,6.86,6.25,6.5,1,6,1,4,0.8,1,0.6,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,10,2,5.00,1,0.8,0.8,1,5,3,2,3,1.3,2.31,1,1,7,July
Qinghai,CVH,HNWP 191021,??? 22994,2002,8/15/2002,"Babao River, Shaolian County, Qinghai Province, China",,,2920,NA,NA,1,1,1,10,yes,7,10.5,1,1,1,1,1,1,2,9,11,13,33,5.14,6.29,7.43,18.86,10,13.5,12,1.75,2.5,2.5,5.71,5.4,4.8,1,1,1,4,1,1.5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,8,2,4.00,1,0.8,0.7,1,5,3,2,2,1,2.00,1,1,8,August
Qinghai,CVH,HNWP 191917,??? 22994,2002,8/15/2002,"Babao River, Shaolian County, Qinghai Province, China",,,2920,NA,NA,1,1,1,10,yes,7,10.5,1,1,1,1,1,1,2,9,11,13,33,5.14,6.29,7.43,18.86,10,13.5,12,1.75,2.5,2.5,5.71,5.4,4.8,1,1,1,4,1,1.5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,8,2,4.00,1,0.8,0.7,1,5,3,2,2,1,2.00,1,1,8,August
Qinghai,CVH,PE 01059294,"T.N.Ho,B.Bartholomew,M.Watson and M.Gilbert 1892",1996,8/15/1996,"Chindu xian, Xiwu Xiang: Xia Saiba, E of Chumda",33  0' N,97  20'E,3620,Growing on steep W facing rocky slopes,Growing on steep W facing rocky slopes,1,1,1,13,yes,4,25.5,1,3,3,2,1,1,3,11,13,15,39,2.59,3.06,3.53,9.18,15,21,18,5.5,9,8,2.73,2.33,2.25,1,6,1,4,4,5,2,1,3,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,15,5,3.00,1,0.8,1,1,5,3,1,2,1,2.00,1,1,8,August
Qinghai,CVH,PE 01059297,"Ho Ting-nung,Bruce Bartholomew & Mike Gilbert 1090",1993,8/10/1993,"Dari Xian: jianshe Xiang, Dari He, Nari",33  41' 38''N,99  25' 52''E,4050,"slopy valley sides, among bushes","slopy valley sides, among bushes",1,NA,NA,NA,NA,5,16,1,2,1,1,1,1,2,9,11,11,31,3.38,4.13,4.13,11.63,11,15,13,2,3.5,2.5,5.5,4.29,5.2,1,1,1,4,1.3,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,10,3,3.33,2,1,0.8,1,5,3,1,2,1,2.00,1,1,8,August
Qinghai,CVH,PE 01059296,"Ho Ting-nung,Bruce Bartholomew & Mike Gilbert 1090",1993,8/10/1993,"Dari Xian: jianshe Xiang, Dari He, Nari",33  41' 38''N,99  25' 52''E,4050,"slopy valley sides, among bushes","slopy valley sides, among bushes",1,1,1,17,yes,5,11,1,2,1,1,1,1,2,7,9,11,27,3.82,4.91,6.00,14.73,12.5,20,15,2,4.5,3.5,6.25,4.44,4.29,1,1,1,4,2,3,1.4,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,12,4,3.00,2,1,0.8,1,5,3,1,2,1.5,1.33,1,1,8,August
Qinghai,CVH,PE 01059295,"Ho Ting-nung,Bruce Bartholomew & Mike Gilbert 146",1993,7/22/1993,Tongde Xian: Longmuer Gongma,34  42' 53'' N,100  42' 43''E,3450,"rocky areas, alpine meadows with many seepage areas; common in drier meadows","rocky areas, alpine meadows with many seepage areas; common in drier meadows",1,1,1,21,yes,6,17,1,2,1,1,1,1,2,13,17,21,51,4.59,6.00,7.41,18.00,11.5,15,11,2.5,2.5,2.5,4.6,6,4.4,1,1,1,4,1,1.5,0.8,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,8,2,4.00,1,0.8,0.8,1,5,3,3,2,1,2.00,1,1,7,July
Qinghai,CVH,HNWP 162347,???? 4720,1990,19900726,"Longmurgongma, Tongde County, Qinghai Province, China",,,3380,NA,NA,1,1,1,13,yes,9,28,1,2,2,1,1,1,3,17,21,25,63,3.64,4.50,5.36,13.50,13,16,13,2.5,2.5,2,5.2,6.4,6.5,1,6,1,4,1.2,1.5,1.2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,10,2,5.00,1,0.8,1,1,5,3,1,2,1,2.00,1,1,7,July
Qinghai,CVH,HNWP 162444,???? 5697,1990,19900804,"Xiharan Valley,""Ashan South Slope)",,,3550,NA,NA,1,NA,NA,NA,NA,8,19,1,2,2,1,1,1,2,11,13,15,39,3.47,4.11,4.74,12.32,11,15,12,2.5,3.5,2.5,4.4,4.29,4.8,1,6,1,4,1.5,2,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,10,2,5.00,3,0.8,1,1,5,3,2,2,1,2.00,1,1,8,August
Qinghai,CVH,HNWP 164183,???? 6790,1990,8/17/1990,"Xiu Maxiang Jiangqungou, Tongde County, Qinghai Province, China",,,NA,NA,NA,1,1,1,18,yes,6,25.5,1,2,1,1,1,1,2,15,17,21,53,3.53,4.00,4.94,12.47,17,21.5,17,2.5,4,3,6.8,5.38,5.67,1,1,1,4,2,2.5,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,18,3,6.00,1,0.8,0.8,1,5,3,1,2,1,2.00,1,1,8,August
