,,,,,,TP,TP,AI,RH,PP,PET,PV,SC,SM,SP,SR,WV,WS,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,GD,GD,GD,GD,GD,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,UVB,UVB,UVB,UVB,UVB,UVB,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM
SN,barcode,Province,long,lat,colour,Elevation (m),Aspect (degree),Annual aridity (ratio),Annual Relative Humidity (%),Net primary productivity (kg-carbon/m²/year),Potential evapotranspiration (mm),Potential vegetation (15 biomes categories),Soil carbon (Kg-Carbon/m² to 1 m depth),Soil moisture (mm based on 150 mm water holding capacity),Soil pH (acidity-alkaline level),Annual solar radiation (kJ/m²/day),Annual water vapour (kPa),Annual wind speed (m/s),"Contrast (exponentially weighted difference in EVI between adjacent pixels, x ?0)","Correlation (linear dependency of EVI on adjacent pixels, 1? x ?-1)","Coefficient of variation (normalized dispersion of EVI, x ?0)",Dissimilarity, Entrophy,"Evenness (evenness of EVI, 1? x ?0)","Homogeneity (similarity of EVI between adjacent pixels, 1? x ?0)","Maximum (dominance of EVI combinations between adjacent pixels, 1? x ?0)","Range (Range of EVI, x ?0)",Shannon index,Simpson index,Standard deviation,"Uniformity (orderliness of EVI, 1? x ?0)­­­","Variance (Dispersion of EVI combinations between adjacent pixels, x ?0)",First day of growing season (Julian day),Growing degree days (°C based on 5-degree base temperature),Growing season length (number of days),Growing season temperature (°C/10),Last day of growing season (Julian day),Evergreen/deciduous Needleleaf trees (Lulc1),Evergreen broadleaf trees (LULC2),Deciduous Broadleaf Trees (LULC3),Mixed/other trees (LULC4),Shrubs (LULC5),Herbaceous vegetation (LULC6),Cultivated and managed vegetation (LULC7),Regularly Flooded Vegetation (LULC8),Urban/Built-up (LULC9),Snow/Ice (LULC10),Barren (LULC11),Barren (LULC12),Annual mean UV-B (J/m²/day),UV-B seasonality (J/m²/day),Mean UV-B of highest month (J/m²/day),Mean UV-B of lowest month (J/m²/day),Sum of monthly mean UV-B during highest quarter,Sum of monthly mean UV-B during lowest quarter,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
43,PE 01244571,Hebei,117.48375900000,40.45818100000,RW,651.09,77.05,6208.84,47.00,0.37,60.68,5.00,4.61,41.02,6.78,15540.90,0.82,2.50,349492.00,6336.00,1413.00,38655.00,51908.00,8543.00,3001.00,293.00,3921.00,29811.00,9319.00,671.00,92.00,491490.00,78.19,2605.00,157.69,16.49,108.28,18.16,0.00,27.54,29.68,7.41,3.50,6.19,0.00,7.90,0.00,0.00,0.00,2433.94,138447.00,4117.33,612.26,11864.40,3314.08,84.00,97.00,234.00,11129.00,276.00,-138.00,414.00,223.00,-78.00,225.00,-78.00,605.00,186.00,2.00,122.00,518.00,7.00,7.00,7.00
44,PE 02031786,Hebei,117.48091666700,40.59865000000,RW,1265.24,165.51,7930.98,44.00,0.37,56.51,6.00,5.01,39.83,6.74,15490.40,0.67,3.17,127886.00,6469.00,810.00,26730.00,50223.00,8798.00,3199.00,264.00,2620.00,28147.00,9285.00,434.00,89.00,183799.00,100.71,2197.00,189.11,12.99,250.88,18.06,0.00,0.00,75.85,0.00,0.00,6.37,0.00,0.00,0.00,0.00,0.00,2445.36,139713.00,4197.95,606.76,11874.70,3332.34,40.00,96.00,236.00,10866.00,231.00,-177.00,408.00,179.00,-117.00,180.00,-117.00,778.00,245.00,2.00,124.00,668.00,7.00,7.00,7.00
46,PE 02031626,Hebei,118.79438888900,40.51589166670,RW,1057.05,122.13,8748.13,57.00,0.46,53.18,5.00,4.47,63.55,6.84,15688.60,0.70,3.00,122732.00,6163.00,715.00,25520.00,49161.00,8687.00,3433.00,293.00,2343.00,27421.00,9235.00,404.00,101.00,169829.00,98.51,2533.00,201.10,13.27,278.27,18.10,0.00,1.54,74.30,0.00,0.00,5.70,0.00,0.00,0.00,0.00,0.00,2390.48,137811.00,4201.91,585.21,11812.20,3202.77,47.00,94.00,231.00,10859.00,236.00,-170.00,406.00,187.00,-110.00,187.00,-110.00,870.00,302.00,3.00,129.00,761.00,10.00,10.00,10.00
47,Zhang4,Hubei,115.10111111100,40.11194444440,RW,1328.25,317.50,5391.93,33.00,0.22,52.30,9.00,4.96,44.20,7.16,15473.40,0.64,3.29,99732.00,6887.00,1144.00,23239.00,48806.00,8749.00,3628.00,320.00,2397.00,27636.00,9248.00,414.00,106.00,167590.00,93.43,1785.00,139.67,14.21,141.92,0.53,0.00,5.08,2.37,0.00,32.65,59.50,0.00,0.00,0.00,0.00,0.00,2565.60,149985.00,4528.18,635.69,12605.80,3495.74,54.00,102.00,244.00,10863.00,248.00,-170.00,417.00,190.00,-105.00,194.00,-105.00,447.00,113.00,3.00,98.00,307.00,8.00,8.00,8.00
89,WUK 0420309,Shanxi,113.76256900000,40.25260800000,RW,1147.55,228.87,3742.88,33.00,0.30,46.93,10.00,5.65,14.37,7.41,15762.40,0.62,3.04,237927.00,6902.00,2026.00,35296.00,54457.00,9074.00,2818.00,234.00,3456.00,31778.00,9512.00,644.00,59.00,393823.00,87.12,1817.00,127.54,15.42,109.00,0.00,0.00,2.87,0.00,0.00,44.79,52.33,0.00,0.00,0.00,0.00,0.00,2631.57,156097.00,4857.32,635.93,12820.30,3509.78,65.00,108.00,243.00,11337.00,270.00,-173.00,444.00,206.00,-103.00,211.00,-103.00,437.00,115.00,2.00,99.00,302.00,7.00,7.00,7.00
38,PE 01059173,Hebei,114.73194100000,39.78110200000,RW,1804.86,305.48,6916.22,33.00,0.35,40.62,8.00,4.22,64.88,7.43,15468.30,0.58,3.89,152887.00,6934.00,1044.00,29702.00,52291.00,9140.00,2990.00,235.00,2520.00,29544.00,9395.00,511.00,72.00,262194.00,107.27,1694.00,173.00,12.15,254.58,0.00,0.00,13.38,16.25,8.53,18.89,42.95,0.00,0.00,0.00,0.00,0.00,2564.24,147221.00,4447.51,643.59,12542.60,3521.14,30.00,101.00,248.00,10495.00,219.00,-188.00,408.00,163.00,-123.00,166.00,-123.00,575.00,154.00,3.00,101.00,402.00,9.00,9.00,9.00
10,PE 01059267,Gansu,99.51265000000,38.97606500000,RW,2852.11,40.56,3075.95,15.00,0.00,31.69,10.00,5.66,2.11,7.13,16236.00,0.33,3.07,63515.00,8724.00,1910.00,18169.00,47662.00,9090.00,4329.00,398.00,2407.00,28853.00,9327.00,540.00,133.00,317445.00,114.25,229.00,84.69,9.30,138.12,0.00,0.00,0.00,0.00,0.00,67.72,32.28,0.00,0.00,0.00,0.00,0.00,4085.24,247485.00,7459.26,1004.86,20426.60,5317.83,5.00,118.00,302.00,8966.00,191.00,-199.00,390.00,122.00,-113.00,123.00,-125.00,242.00,61.00,1.00,105.00,177.00,4.00,4.00,4.00
29,Gao2019,Gansu,99.72663888890,38.78772222220,RW,3014.44,346.41,3571.01,8.00,0.00,31.69,10.00,5.66,2.11,7.13,16503.40,0.33,3.08,109852.00,8229.00,1804.00,22325.00,47811.00,8518.00,4009.00,477.00,2727.00,28297.00,9188.00,597.00,147.00,407399.00,120.63,229.00,112.93,8.71,197.48,38.87,0.00,0.00,0.00,0.00,46.49,15.04,0.00,0.00,0.00,0.00,0.00,4048.53,244377.00,7371.13,999.31,20218.50,5281.99,-2.00,118.00,304.00,8822.00,181.00,-205.00,387.00,114.00,-127.00,114.00,-130.00,309.00,76.00,2.00,103.00,219.00,5.00,5.00,5.00
30,PE 01244570,Hebei,113.77269700000,38.92843400000,RW,1331.36,72.20,5330.00,36.00,0.32,41.42,5.00,4.45,106.48,6.86,15955.70,0.71,2.94,74830.00,5929.00,671.00,20011.00,44871.00,8467.00,3971.00,455.00,1928.00,25019.00,9021.00,308.00,163.00,94724.00,90.91,1919.00,164.35,14.33,185.17,3.68,0.00,14.98,9.72,9.33,26.77,35.64,0.00,0.00,0.00,0.00,0.00,2569.06,139288.00,4342.42,731.27,12311.00,3697.71,65.00,102.00,254.00,10277.00,251.00,-150.00,401.00,194.00,-86.00,198.00,-86.00,708.00,174.00,8.00,91.00,490.00,28.00,28.00,28.00
33,PE 01059142,Hebei,113.89668800000,38.69330800000,RW,868.31,118.38,4414.68,47.00,0.32,41.42,7.00,4.45,106.48,6.86,16006.60,0.81,2.60,65491.00,5654.00,600.00,18915.00,43368.00,8352.00,4061.00,424.00,1690.00,23713.00,8880.00,277.00,182.00,76380.00,71.12,1919.00,165.09,16.41,115.99,1.72,0.00,9.33,14.73,34.78,9.11,29.84,0.00,0.00,0.00,0.00,0.00,2583.08,140819.00,4315.72,730.45,12286.40,3751.22,98.00,101.00,255.00,10314.00,281.00,-116.00,397.00,225.00,-53.00,230.00,-53.00,685.00,176.00,7.00,99.00,513.00,23.00,23.00,23.00
11,PE 01059258,Gansu,101.23352100000,38.45208300000,RW,2878.17,311.31,4610.29,24.00,0.01,37.37,10.00,4.05,2.56,7.70,16229.80,0.39,3.20,100797.00,7129.00,1239.00,21606.00,47402.00,8941.00,3979.00,391.00,2160.00,27247.00,9200.00,425.00,128.00,193857.00,117.12,736.00,124.82,9.79,202.52,1.63,0.00,0.00,1.01,8.07,44.71,45.00,0.00,0.00,0.00,0.00,0.00,4061.42,242820.00,7337.25,1023.68,20199.00,5366.76,8.00,116.00,290.00,9425.00,200.00,-200.00,400.00,131.00,-127.00,133.00,-127.00,323.00,68.00,2.00,91.00,201.00,8.00,8.00,8.00
32,HBNU20000645,Hebei,113.82711400000,38.13091100000,RW,775.42,78.55,4621.18,56.00,0.32,57.18,8.00,4.41,37.20,6.85,16019.00,0.86,2.42,46469.00,6656.00,648.00,16122.00,42300.00,8502.00,4513.00,533.00,1520.00,23543.00,8845.00,270.00,219.00,73917.00,64.62,2437.00,160.21,16.52,89.16,16.78,0.00,13.00,23.85,39.90,0.97,5.52,0.00,0.00,0.00,0.00,0.00,2586.90,140388.00,4449.16,744.96,12414.20,3759.94,104.00,101.00,261.00,10104.00,284.00,-102.00,386.00,228.00,-43.00,234.00,-43.00,627.00,179.00,4.00,111.00,526.00,13.00,13.00,13.00
55,HNWP 0235078,Qinghai,98.34085500000,38.00901300000,RW,3963.03,234.29,4809.17,4.00,0.00,27.09,13.00,5.79,71.51,6.83,16431.70,0.27,3.86,139392.00,7377.00,2032.00,27429.00,52049.00,9041.00,3265.00,203.00,2920.00,29963.00,9442.00,519.00,71.00,261831.00,170.46,0.00,91.45,5.00,260.23,0.00,0.00,0.00,0.00,0.00,72.33,25.75,0.00,0.00,0.00,1.93,0.00,4595.01,269825.00,8291.60,1216.33,22642.90,6214.48,-51.00,121.00,322.00,8411.00,119.00,-255.00,375.00,53.00,-147.00,59.00,-175.00,360.00,88.00,1.00,106.00,253.00,5.00,5.00,7.00
57,HNWP 191021,Qinghai,100.26402000000,38.16754500000,RW,3061.88,121.98,4351.99,3.00,0.02,31.88,13.00,6.09,4.43,6.84,16497.00,0.36,3.09,297884.00,6400.00,1844.00,40477.00,55907.00,9066.00,2396.00,143.00,3760.00,32334.00,9540.00,691.00,48.00,450830.00,116.11,122.00,123.62,8.38,188.66,5.20,0.00,0.00,5.20,0.00,57.57,31.25,0.00,0.13,0.00,0.00,0.00,4395.50,261734.00,7966.68,1119.88,21788.60,5807.28,0.00,116.00,306.00,8504.00,173.00,-207.00,380.00,110.00,-106.00,111.00,-126.00,367.00,91.00,0.00,106.00,252.00,2.00,2.00,2.00
85,Li2016,Qinghai,100.53383888900,38.04271388890,RW,3115.03,247.67,4977.25,1.00,0.02,33.05,10.00,5.45,4.65,7.14,16233.20,0.37,3.21,370068.00,7234.00,1584.00,40667.00,56149.00,9256.00,2754.00,157.00,4374.00,33815.00,9611.00,827.00,47.00,682491.00,117.92,290.00,95.24,8.17,154.40,0.00,0.00,0.00,0.00,0.00,53.50,46.50,0.00,0.00,0.00,0.00,0.00,4342.31,255635.00,7757.18,1122.58,21487.00,5826.07,-3.00,116.00,303.00,8545.00,171.00,-210.00,381.00,109.00,-99.00,109.00,-129.00,292.00,70.00,0.00,103.00,194.00,2.00,2.00,2.00
87,SXU 00023442,Shanxi,111.77009600000,38.08323000000,RW,1255.54,68.67,4536.30,36.00,0.29,49.41,10.00,4.78,40.11,7.14,16120.80,0.71,2.62,51869.00,7381.00,1298.00,16103.00,42172.00,7947.00,4702.00,578.00,2230.00,24203.00,8841.00,322.00,236.00,106723.00,74.90,1868.00,95.85,16.00,83.69,0.00,0.00,0.00,0.00,0.00,51.98,48.02,0.00,0.00,0.00,0.00,0.00,2787.47,152825.00,4705.83,801.41,13459.60,3982.67,84.00,102.00,248.00,10440.00,273.00,-137.00,411.00,211.00,-73.00,218.00,-73.00,390.00,100.00,2.00,103.00,296.00,7.00,7.00,7.00
28,Li2018,Gansu,101.81250000000,37.91666666670,RW,2661.01,333.90,4656.00,13.00,0.01,32.13,10.00,5.72,46.39,7.00,16007.80,0.45,2.88,327497.00,7823.00,2457.00,40805.00,56846.00,9282.00,2535.00,186.00,4313.00,34713.00,9622.00,934.00,46.00,848351.00,103.79,200.00,103.66,10.36,141.94,0.00,0.00,0.00,0.00,0.00,60.50,39.50,0.00,0.00,0.00,0.00,0.00,4140.72,242019.00,7405.08,1085.33,20385.40,5585.40,25.00,117.00,297.00,9002.00,211.00,-184.00,395.00,141.00,-107.00,144.00,-107.00,224.00,43.00,1.00,86.00,129.00,4.00,4.00,4.00
66,WUK 0458918,Qinghai,101.63374900000,37.36326700000,RW,2942.43,25.02,6438.91,5.00,0.01,28.45,10.00,5.76,119.79,6.85,15802.00,0.45,2.90,504088.00,7348.00,2171.00,47631.00,55723.00,8943.00,2548.00,233.00,4182.00,33027.00,9520.00,942.00,58.00,968397.00,109.89,300.00,145.10,9.17,213.29,0.00,0.00,0.00,0.00,0.00,51.33,48.67,0.00,0.00,0.00,0.00,0.00,4424.53,253359.00,7772.12,1203.46,21641.30,6149.67,15.00,118.00,306.00,8488.00,190.00,-195.00,385.00,125.00,-112.00,125.00,-112.00,455.00,96.00,1.00,94.00,287.00,3.00,3.00,3.00
75,KUN 1247499,Qinghai,101.31991666700,37.59841666670,RW,3264.03,181.61,6746.50,6.00,0.01,30.27,10.00,5.76,55.96,6.86,15840.70,0.40,3.29,186214.00,6405.00,962.00,29438.00,50363.00,8869.00,3343.00,303.00,2673.00,28876.00,9325.00,518.00,95.00,276561.00,129.06,303.00,148.29,7.86,268.98,0.00,0.00,0.00,0.00,0.00,59.19,40.56,0.00,0.00,0.00,0.00,0.25,4355.72,251930.00,7709.72,1156.67,21364.50,5983.58,-6.00,117.00,304.00,8524.00,169.00,-217.00,385.00,104.00,-133.00,104.00,-133.00,454.00,94.00,1.00,91.00,277.00,5.00,5.00,5.00
84,Zhang5,Qinghai,100.07500000000,37.41277777780,RW,3445.44,170.15,5527.13,13.00,0.02,35.15,10.00,6.65,34.26,7.55,16116.40,0.34,3.04,225537.00,6650.00,1158.00,34406.00,54350.00,9149.00,2838.00,171.00,2967.00,31318.00,9495.00,594.00,58.00,350478.00,118.51,494.00,110.87,7.46,172.39,0.00,0.00,0.00,0.00,0.00,61.69,38.31,0.00,0.00,0.00,0.00,0.00,4424.67,255440.00,7853.94,1202.88,21703.30,6050.41,-10.00,113.00,301.00,8451.00,154.00,-221.00,376.00,99.00,-113.00,99.00,-138.00,320.00,77.00,0.00,109.00,224.00,2.00,2.00,2.00
86,SXU 00023431,Shanxi,111.21477100000,37.55328800000,RW,1145.97,264.90,4851.93,41.00,0.18,51.08,10.00,4.14,44.33,7.31,15988.60,0.74,2.41,77568.00,5310.00,1062.00,19777.00,43455.00,8185.00,4159.00,520.00,1862.00,23884.00,8840.00,288.00,206.00,85094.00,70.17,1975.00,126.74,15.73,94.56,0.00,0.00,0.00,0.00,0.56,31.95,67.49,0.00,0.00,0.00,0.00,0.00,2856.27,156334.00,4846.29,809.46,13686.50,4090.04,91.00,102.00,255.00,10311.00,277.00,-122.00,400.00,216.00,-62.00,224.00,-62.00,491.00,117.00,3.00,95.00,348.00,9.00,9.00,9.00
34,HBNU10014847,Hebei,114.10082800000,37.26862300000,RW,507.10,156.61,5212.22,54.00,0.29,63.95,5.00,4.54,27.79,6.79,16035.10,0.99,2.19,155168.00,6087.00,1138.00,25679.00,47602.00,8213.00,3810.00,440.00,3149.00,26971.00,9132.00,445.00,133.00,201904.00,56.46,3022.00,161.23,17.85,74.02,9.04,0.00,0.00,13.90,3.48,0.00,73.35,0.00,0.00,0.00,0.00,0.00,2594.02,135657.00,4335.67,790.24,12274.90,3888.56,122.00,99.00,262.00,9945.00,296.00,-81.00,377.00,243.00,-23.00,250.00,-23.00,589.00,168.00,4.00,106.00,457.00,12.00,12.00,12.00
61,PE 01059302,Qinghai,100.97980500000,36.89348800000,RW,3123.04,89.19,5165.25,19.00,0.13,34.58,10.00,5.90,30.40,7.53,15803.60,0.42,2.84,216432.00,7779.00,2034.00,33246.00,54323.00,9192.00,2929.00,223.00,3509.00,32269.00,9535.00,706.00,61.00,480712.00,104.99,788.00,122.86,9.35,165.71,0.00,0.00,0.00,0.00,0.00,61.51,36.33,0.00,2.15,0.00,0.00,0.00,4396.36,249833.00,7714.89,1221.03,21447.20,6128.10,15.00,115.00,303.00,8484.00,184.00,-194.00,378.00,124.00,-99.00,124.00,-113.00,343.00,77.00,1.00,100.00,228.00,3.00,3.00,3.00
64,HNWP 154603,Qinghai,101.55907600000,37.05127300000,RW,2639.43,129.50,5088.81,22.00,0.01,28.45,10.00,5.76,119.79,6.85,15764.40,0.49,2.53,346389.00,5875.00,1287.00,41800.00,55289.00,9114.00,2597.00,180.00,3326.00,31550.00,9498.00,649.00,54.00,425421.00,91.96,300.00,104.90,10.76,113.07,0.00,0.00,0.00,0.00,0.00,27.45,72.55,0.00,0.00,0.00,0.00,0.00,4400.00,251438.00,7765.96,1205.73,21482.00,6121.88,35.00,118.00,310.00,8412.00,207.00,-174.00,382.00,142.00,-92.00,143.00,-92.00,341.00,72.00,1.00,93.00,217.00,3.00,3.00,3.00
67,HNWP 156351,Qinghai,101.69078400000,36.93006600000,RW,2522.19,162.45,4549.56,34.00,0.23,45.07,10.00,4.38,9.46,7.34,15668.50,0.51,2.39,634757.00,6990.00,2472.00,55399.00,58674.00,9199.00,2130.00,143.00,4736.00,35398.00,9646.00,1008.00,37.00,1022202.00,85.70,1348.00,94.51,11.57,96.69,0.14,0.00,0.00,0.00,0.00,59.94,24.37,0.00,12.08,0.00,3.53,0.00,4309.96,246678.00,7637.13,1189.97,21026.00,5969.03,44.00,118.00,311.00,8404.00,217.00,-163.00,381.00,152.00,-75.00,153.00,-82.00,321.00,69.00,1.00,94.00,203.00,3.00,3.00,3.00
88,SXU 00023425,Shanxi,111.87146200000,36.82715000000,RW,1337.13,282.55,5607.19,49.00,0.28,56.44,5.00,4.68,40.88,6.82,15757.60,0.72,2.63,91332.00,7449.00,1115.00,22825.00,49502.00,8909.00,3564.00,280.00,2508.00,28603.00,9320.00,459.00,97.00,203808.00,79.37,2477.00,168.25,14.16,149.92,10.46,0.00,15.76,35.63,24.69,0.19,13.12,0.00,0.00,0.00,0.00,0.00,2812.36,147650.00,4732.05,864.10,13262.80,4172.87,79.00,100.00,261.00,9847.00,258.00,-125.00,383.00,206.00,-66.00,206.00,-66.00,598.00,142.00,5.00,81.00,355.00,16.00,16.00,16.00
16,WUK 0157380,Gansu,103.86145000000,36.01922600000,RW,1851.00,306.01,3574.14,43.00,0.46,47.89,10.00,3.76,13.91,7.62,14575.70,0.70,1.85,74337.00,7162.00,1743.00,17960.00,43302.00,8168.00,4634.00,598.00,2125.00,25047.00,8916.00,378.00,232.00,143154.00,72.42,1627.00,89.74,14.74,77.34,0.00,0.00,0.00,0.00,3.60,75.30,5.70,0.00,0.00,0.00,15.40,0.00,3161.84,162657.00,5340.85,1061.29,14966.20,4836.01,79.00,115.00,299.00,9014.00,262.00,-121.00,383.00,193.00,-52.00,197.00,-52.00,349.00,78.00,1.00,89.00,225.00,5.00,5.00,5.00
20,WUK 0435622,gansu,104.45251500000,36.48314100000,RW,1507.95,228.37,2115.03,47.00,0.22,45.35,10.00,3.49,6.74,7.70,15121.50,0.73,1.86,421132.00,7774.00,4115.00,40590.00,49281.00,8196.00,3728.00,876.00,4270.00,30773.00,9014.00,1005.00,331.00,963520.00,74.04,1787.00,45.82,17.18,75.02,0.00,0.00,0.00,0.00,5.12,35.10,9.02,0.00,20.70,0.00,30.10,0.00,3190.53,168182.00,5446.67,1026.77,15336.40,4819.65,94.00,118.00,284.00,9875.00,288.00,-125.00,413.00,217.00,-51.00,222.00,-52.00,208.00,51.00,1.00,96.00,147.00,3.00,3.00,3.00
22,PE 01059270,Gansu,104.68700400000,36.53722600000,RW,1554.78,307.44,2188.90,49.00,0.22,53.63,10.00,3.50,1.06,7.66,15133.30,0.73,1.93,156969.00,7864.00,3269.00,16645.00,31518.00,6472.00,6522.00,2535.00,2878.00,19753.00,7706.00,593.00,1036.00,397014.00,72.56,2179.00,53.01,16.75,73.98,0.00,0.00,0.00,0.00,32.79,32.68,2.99,0.00,0.00,0.00,31.60,0.00,3217.65,172528.00,5502.55,991.28,15426.90,4714.83,90.00,117.00,281.00,9977.00,284.00,-132.00,416.00,213.00,-58.00,219.00,-58.00,242.00,59.00,1.00,95.00,169.00,3.00,3.00,3.00
48,HNWP 63002,Ningxia,105.58839800000,36.48189800000,RW,2502.36,103.33,5222.01,36.00,0.42,45.02,10.00,5.17,12.90,7.42,15145.10,0.65,2.73,116123.00,9164.00,2406.00,25299.00,53310.00,9250.00,3418.00,218.00,3454.00,32828.00,9557.00,879.00,67.00,753656.00,97.69,1540.00,125.82,11.55,142.71,0.00,0.00,0.00,0.00,6.96,47.46,44.97,0.00,0.00,0.00,0.62,0.00,3093.20,160459.00,5154.93,1018.79,14599.50,4653.55,36.00,111.00,278.00,9620.00,225.00,-175.00,400.00,157.00,-105.00,161.00,-105.00,467.00,111.00,2.00,90.00,315.00,9.00,9.00,9.00
62,HNWP 152842,Qinghai,101.41376500000,36.17917700000,RW,2780.22,174.91,4693.41,29.00,0.23,31.83,11.00,5.99,42.67,7.34,15406.90,0.49,2.34,77996.00,8048.00,2831.00,18074.00,44715.00,8200.00,4696.00,663.00,2821.00,26618.00,9075.00,451.00,210.00,202533.00,92.42,920.00,105.39,10.83,107.75,0.00,0.00,0.00,0.00,0.00,72.82,17.80,0.00,0.00,0.00,9.33,0.00,4458.32,246101.00,7710.88,1302.58,21493.40,6397.38,38.00,119.00,321.00,8223.00,207.00,-164.00,371.00,144.00,-65.00,144.00,-84.00,286.00,62.00,1.00,94.00,182.00,3.00,3.00,3.00
65,HNWP 188888,Qinghai,101.58890200000,36.51201600000,RW,2640.65,56.97,4384.14,37.00,0.23,41.01,10.00,5.25,14.96,7.48,15405.40,0.51,2.28,319840.00,7080.00,1712.00,41479.00,56745.00,9161.00,2448.00,130.00,4011.00,33356.00,9589.00,762.00,43.00,551828.00,84.74,1048.00,113.13,11.93,90.66,2.38,0.00,0.00,0.00,0.00,23.38,72.85,0.00,1.39,0.00,0.00,0.00,4307.40,239868.00,7468.82,1234.13,20817.30,6147.88,47.00,119.00,316.00,8322.00,218.00,-157.00,375.00,154.00,-58.00,154.00,-78.00,355.00,79.00,1.00,98.00,227.00,3.00,3.00,3.00
68,HNWP 156829,Qinghai,101.83519400000,36.62035000000,RW,2325.28,167.81,4122.48,42.00,0.23,45.07,10.00,4.38,9.46,7.34,15602.00,0.55,2.23,297612.00,7222.00,3083.00,36184.00,51726.00,8602.00,3412.00,500.00,3597.00,30720.00,9345.00,746.00,116.00,558983.00,80.72,1348.00,94.98,12.46,85.69,0.09,0.00,0.00,0.00,0.00,92.89,2.64,0.00,4.37,0.00,0.00,0.00,4221.69,238288.00,7366.16,1192.12,20547.90,5944.23,54.00,118.00,314.00,8348.00,227.00,-150.00,376.00,162.00,-68.00,162.00,-70.00,336.00,72.00,1.00,94.00,215.00,3.00,3.00,3.00
69,HNWP 192241,Qinghai,101.92793400000,36.53436400000,RW,2443.07,34.53,4615.38,38.00,0.23,44.07,10.00,4.59,10.81,7.37,15390.80,0.55,2.26,500809.00,7713.00,3472.00,39964.00,51791.00,8741.00,3660.00,411.00,4543.00,32550.00,9449.00,1010.00,112.00,1137984.00,87.89,1274.00,163.42,11.37,176.29,12.03,0.00,0.00,0.00,0.00,32.90,55.07,0.00,0.00,0.00,0.00,0.00,4236.72,238634.00,7387.10,1198.93,20602.10,5974.51,47.00,118.00,314.00,8330.00,220.00,-155.00,375.00,155.00,-72.00,155.00,-76.00,487.00,108.00,1.00,96.00,315.00,4.00,4.00,4.00
71,HNWP00012236,Qinghai,102.10684800000,36.51805200000,RW,2184.23,94.95,3863.85,34.00,0.17,32.04,10.00,5.39,87.97,7.31,15423.60,0.59,2.15,480835.00,8181.00,4703.00,41579.00,50437.00,8497.00,3773.00,659.00,4523.00,32099.00,9350.00,1149.00,164.00,1299700.00,74.03,1009.00,87.97,13.40,76.79,8.85,0.00,0.00,0.00,0.00,39.81,45.11,0.00,5.10,0.00,1.32,0.00,4294.63,241159.00,7490.70,1210.77,20830.00,6068.04,66.00,117.00,313.00,8348.00,238.00,-136.00,374.00,173.00,-58.00,174.00,-58.00,320.00,69.00,1.00,94.00,208.00,3.00,3.00,3.00
72,HNWP 176062,Qinghai,102.40283500000,36.49086900000,RW,2062.78,154.90,3693.16,35.00,0.17,31.41,10.00,5.50,94.41,7.23,15276.20,0.62,2.07,510174.00,7814.00,3969.00,46157.00,53779.00,8845.00,3227.00,511.00,4385.00,33358.00,9458.00,1080.00,116.00,1142546.00,70.81,1049.00,73.61,14.26,73.17,5.86,0.00,0.00,0.00,0.00,26.01,57.24,0.00,11.15,0.00,0.00,0.00,4290.88,239844.00,7449.60,1223.70,20765.50,6078.71,73.00,117.00,311.00,8429.00,247.00,-128.00,375.00,181.00,-51.00,183.00,-51.00,275.00,60.00,1.00,92.00,178.00,3.00,3.00,3.00
24,WUK 0081185,Gansu,106.11372500000,35.33669400000,RW,1935.37,232.78,6273.60,46.00,0.55,43.49,10.00,4.13,87.57,7.23,14425.30,0.83,2.24,54030.00,5117.00,703.00,17768.00,41768.00,8089.00,4148.00,511.00,1673.00,22506.00,8732.00,243.00,207.00,59637.00,80.48,1648.00,178.55,12.52,160.41,0.00,0.00,0.00,0.00,0.00,31.64,68.36,0.00,0.00,0.00,0.00,0.00,2932.63,145237.00,4855.87,1027.77,13562.90,4588.85,67.00,100.00,283.00,8611.00,237.00,-117.00,355.00,178.00,-58.00,180.00,-58.00,547.00,113.00,3.00,84.00,318.00,10.00,10.00,10.00
70,HNWP 21842,Qinghai,101.99174900000,35.47311300000,RW,3104.23,307.77,5837.73,24.00,0.46,31.90,10.00,7.80,125.41,6.25,14823.40,0.50,2.38,175603.00,7246.00,1428.00,31306.00,53717.00,9056.00,2855.00,187.00,3030.00,30839.00,9469.00,573.00,60.00,323401.00,97.16,591.00,145.38,9.69,167.61,0.13,0.00,0.00,0.00,0.00,52.69,47.05,0.00,0.00,0.00,0.00,0.00,4573.58,244177.00,7766.02,1390.49,21746.30,6767.94,33.00,114.00,328.00,7611.00,191.00,-158.00,349.00,130.00,-57.00,131.00,-81.00,342.00,75.00,1.00,88.00,205.00,5.00,5.00,6.00
