,,,,,,TP,TP,AI,RH,PP,PET,PV,SC,SM,SP,SR,WV,WS,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,GD,GD,GD,GD,GD,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,UVB,UVB,UVB,UVB,UVB,UVB,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM
SN,barcode,Province,long,lat,colour,Elevation (m),Aspect (degree),Annual aridity (ratio),Annual Relative Humidity (%),Net primary productivity (kg-carbon/m²/year),Potential evapotranspiration (mm),Potential vegetation (15 biomes categories),Soil carbon (Kg-Carbon/m² to 1 m depth),Soil moisture (mm based on 150 mm water holding capacity),Soil pH (acidity-alkaline level),Annual solar radiation (kJ/m²/day),Annual water vapour (kPa),Annual wind speed (m/s),"Contrast (exponentially weighted difference in EVI between adjacent pixels, x ?0)","Correlation (linear dependency of EVI on adjacent pixels, 1? x ?-1)","Coefficient of variation (normalized dispersion of EVI, x ?0)",Dissimilarity, Entrophy,"Evenness (evenness of EVI, 1? x ?0)","Homogeneity (similarity of EVI between adjacent pixels, 1? x ?0)","Maximum (dominance of EVI combinations between adjacent pixels, 1? x ?0)","Range (Range of EVI, x ?0)",Shannon index,Simpson index,Standard deviation,"Uniformity (orderliness of EVI, 1? x ?0)­­­","Variance (Dispersion of EVI combinations between adjacent pixels, x ?0)",First day of growing season (Julian day),Growing degree days (°C based on 5-degree base temperature),Growing season length (number of days),Growing season temperature (°C/10),Last day of growing season (Julian day),Evergreen/deciduous Needleleaf trees (Lulc1),Evergreen broadleaf trees (LULC2),Deciduous Broadleaf Trees (LULC3),Mixed/other trees (LULC4),Shrubs (LULC5),Herbaceous vegetation (LULC6),Cultivated and managed vegetation (LULC7),Regularly Flooded Vegetation (LULC8),Urban/Built-up (LULC9),Snow/Ice (LULC10),Barren (LULC11),Barren (LULC12),Annual mean UV-B (J/m²/day),UV-B seasonality (J/m²/day),Mean UV-B of highest month (J/m²/day),Mean UV-B of lowest month (J/m²/day),Sum of monthly mean UV-B during highest quarter,Sum of monthly mean UV-B during lowest quarter,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
174,Zhang1,Inner Mongolia,120.24833333300,50.30000000000,RW,661.26,238.39,5938.46,75.00,0.27,41.06,9.00,5.72,24.03,7.33,13349.80,0.53,2.28,332720.00,6395.00,1388.00,43985.00,56827.00,9186.00,2144.00,136.00,3812.00,32422.00,9548.00,693.00,43.00,471741.00,117.33,1210.00,146.32,13.73,228.78,0.00,0.00,0.00,15.36,0.00,58.03,26.61,0.00,0.00,0.00,0.00,0.00,1745.64,145172.00,3921.00,160.02,10103.50,1387.44,-15.00,94.00,169.00,15958.00,241.00,-318.00,559.00,178.00,-225.00,187.00,-250.00,470.00,133.00,5.00,111.00,368.00,14.00,14.00,17.00
168,IFP0236357,Inner Mongolia,119.04580000000,49.96380000000,RW,600.47,338.85,5004.62,75.00,0.04,42.74,9.00,6.60,9.30,7.58,13653.20,0.55,2.71,118976.00,7116.00,1131.00,24511.00,49443.00,8840.00,3594.00,296.00,2612.00,28435.00,9290.00,477.00,106.00,231910.00,113.48,1441.00,113.77,14.08,162.18,0.00,0.00,0.00,16.78,0.00,49.54,33.68,0.00,0.00,0.00,0.00,0.00,1796.40,142386.00,3828.39,186.12,10256.10,1531.84,-8.00,99.00,176.00,16027.00,251.00,-314.00,565.00,184.00,-222.00,194.00,-244.00,375.00,100.00,4.00,106.00,281.00,13.00,13.00,14.00
171,IATM0001414,Inner Mongolia,119.66733333300,49.76063888890,RW,758.85,241.05,5488.60,76.00,0.04,40.05,9.00,5.92,16.97,7.37,13642.80,0.53,2.68,198528.00,6418.00,1169.00,33022.00,52659.00,8927.00,2831.00,212.00,2836.00,29980.00,9382.00,579.00,71.00,349773.00,116.92,1363.00,128.89,13.61,193.66,0.00,0.00,0.00,0.00,0.00,34.14,65.86,0.00,0.00,0.00,0.00,0.00,1811.81,144940.00,3874.63,182.47,10384.60,1509.55,-15.00,97.00,174.00,15848.00,242.00,-315.00,557.00,177.00,-226.00,186.00,-247.00,412.00,114.00,4.00,112.00,327.00,12.00,12.00,14.00
169,IFP0234514,Inner Mongolia,120.34030000000,49.16300000000,RW,670.60,312.74,5403.45,68.00,0.10,40.97,9.00,6.67,25.56,7.27,13787.20,0.54,2.66,279025.00,6600.00,1394.00,37616.00,55402.00,9080.00,2726.00,231.00,3310.00,31839.00,9517.00,647.00,53.00,411301.00,113.78,1334.00,124.30,14.06,177.86,0.12,0.00,0.00,4.79,0.00,56.42,36.39,0.00,0.00,0.00,1.52,0.00,1827.98,139582.00,3821.91,222.29,10228.80,1584.37,-5.00,92.00,171.00,15520.00,247.00,-293.00,540.00,185.00,-210.00,192.00,-231.00,389.00,101.00,3.00,106.00,295.00,10.00,10.00,14.00
170,IATM0001558,Inner Mongolia,116.64330555600,48.98652777780,RW,681.17,104.15,3443.34,71.00,0.02,45.23,10.00,6.40,4.38,7.89,14028.10,0.53,3.71,38340.00,6219.00,842.00,13959.00,39241.00,8494.00,5034.00,723.00,1283.00,21795.00,8641.00,231.00,295.00,54890.00,106.15,1674.00,65.32,15.11,118.00,0.00,0.00,0.00,0.00,0.00,51.08,32.02,0.00,0.00,0.00,16.90,0.00,1971.78,148701.00,4136.34,236.67,10864.20,1774.89,6.00,100.00,184.00,15501.00,263.00,-284.00,546.00,195.00,-200.00,204.00,-218.00,265.00,89.00,1.00,131.00,234.00,3.00,3.00,4.00
173,YAK0005569,Inner Mongolia,124.28305555600,48.66444444440,RW,282.90,271.77,6235.04,71.00,0.39,44.02,9.00,6.72,126.65,6.54,13559.90,0.64,2.91,129937.00,5921.00,836.00,26722.00,49132.00,8679.00,3217.00,295.00,2661.00,27259.00,9213.00,401.00,101.00,162132.00,104.69,1689.00,162.54,14.90,210.92,0.00,0.00,0.03,0.25,0.00,6.23,93.50,0.00,0.00,0.00,0.00,0.00,1799.47,136160.00,3695.26,207.45,10044.30,1670.47,21.00,88.00,171.00,14824.00,257.00,-254.00,511.00,200.00,-173.00,207.00,-197.00,507.00,134.00,3.00,107.00,380.00,9.00,9.00,13.00
172,YAK 0006101,Inner Mongolia,121.31605000000,47.66310833330,RW,930.84,239.69,6759.94,57.00,0.42,41.06,8.00,4.06,66.15,6.11,14007.80,0.51,3.21,75706.00,6623.00,677.00,20439.00,46037.00,8565.00,3935.00,360.00,2173.00,26039.00,9122.00,343.00,138.00,112414.00,115.27,1242.00,157.56,13.04,248.08,18.36,0.00,0.00,62.67,0.00,0.00,12.52,0.00,0.00,0.00,6.45,0.00,1876.56,134679.00,3637.99,265.98,10259.70,1891.21,-1.00,90.00,184.00,13908.00,229.00,-261.00,490.00,175.00,-182.00,176.00,-203.00,545.00,157.00,3.00,110.00,404.00,10.00,10.00,11.00
178,MW0185654,Mongolia,119.08333333300,47.58333333330,RW,831.81,219.51,4306.00,65.00,0.26,40.72,9.00,6.56,26.53,7.40,14177.80,0.53,3.16,105032.00,8077.00,1369.00,23452.00,50270.00,9118.00,3676.00,284.00,2630.00,29876.00,9406.00,558.00,94.00,305176.00,114.29,1316.00,123.23,14.00,183.09,0.00,0.00,0.00,0.00,0.00,50.00,27.00,0.00,0.00,0.00,23.00,0.00,2035.44,146736.00,4111.48,284.51,10966.70,1972.86,1.00,94.00,182.00,14792.00,247.00,-271.00,518.00,190.00,-193.00,190.00,-212.00,388.00,116.00,4.00,107.00,291.00,14.00,14.00,14.00
177,MW0185655,Mongolia,114.08333333300,45.41666666670,RW,1351.85,31.66,3125.00,60.00,0.07,40.11,10.00,5.94,3.50,7.47,15278.20,0.47,4.31,24602.00,6384.00,658.00,11312.00,35847.00,8234.00,5559.00,860.00,1033.00,20075.00,8409.00,189.00,391.00,34512.00,110.32,1521.00,62.09,14.00,123.00,0.00,0.00,0.00,0.00,0.00,52.00,48.00,0.00,0.00,0.00,0.00,0.00,2278.81,157122.00,4463.75,328.45,12009.80,2420.09,1.00,104.00,200.00,14258.00,248.00,-271.00,519.00,180.00,-186.00,183.00,-206.00,248.00,76.00,2.00,120.00,204.00,6.00,6.00,7.00
167,PE 01059083,Inner Mongolia,115.52576000000,44.23322600000,RW,1214.63,161.93,3354.21,51.00,0.11,45.20,10.00,7.00,5.76,7.63,15412.40,0.48,3.73,18142.00,5919.00,648.00,9540.00,32381.00,8327.00,6032.00,1143.00,792.00,17659.00,7986.00,148.00,574.00,23762.00,103.72,1605.00,71.27,14.99,111.72,0.00,0.00,0.00,0.00,0.00,52.00,0.00,0.00,0.00,0.00,48.00,0.00,2432.70,160133.00,4627.53,423.16,12541.00,2734.33,21.00,105.00,208.00,13889.00,262.00,-242.00,504.00,194.00,-180.00,198.00,-180.00,268.00,82.00,1.00,120.00,223.00,4.00,4.00,4.00
